"","SiteName","Latitude","Longitude","Year","JulianDay","AphidCount","AphidDDS"
"75","2020-Site-07",46.59968,-116.55548,2020,169,0,518.096510820242
"76","2020-Site-07",46.59968,-116.55548,2020,175,2,592.367744617413
"77","2020-Site-07",46.59968,-116.55548,2020,182,0,672.951545099416
"78","2020-Site-07",46.59968,-116.55548,2020,189,0,747.931545099416
"79","2020-Site-06",46.52528,-116.80662,2020,135,0,274.592944499209
"80","2020-Site-06",46.52528,-116.80662,2020,142,0,317.502747779426
"81","2020-Site-06",46.52528,-116.80662,2020,149,0,371.732713199292
"82","2020-Site-06",46.52528,-116.80662,2020,154,0,429.229157126472
"83","2020-Site-06",46.52528,-116.80662,2020,161,0,480.539157126472
"84","2020-Site-06",46.52528,-116.80662,2020,169,1,547.207589406015
"85","2020-Site-06",46.52528,-116.80662,2020,175,0,623.694162053549
"86","2020-Site-06",46.52528,-116.80662,2020,182,0,707.318440461468
"87","2020-Site-06",46.52528,-116.80662,2020,189,2,783.993440461468
"88","2020-Site-05",46.36822,-116.86189,2020,135,0,388.860528520042
"89","2020-Site-05",46.36822,-116.86189,2020,142,0,444.480528520042
"90","2020-Site-05",46.36822,-116.86189,2020,149,0,510.511431403598
"91","2020-Site-05",46.36822,-116.86189,2020,154,0,576.909464259472
"92","2020-Site-05",46.36822,-116.86189,2020,161,0,643.519464259472
"93","2020-Site-05",46.36822,-116.86189,2020,169,0,725.98710314679
"94","2020-Site-05",46.36822,-116.86189,2020,175,1,813.16656527259
"95","2020-Site-05",46.36822,-116.86189,2020,182,2,909.250875711572
"96","2020-Site-05",46.36822,-116.86189,2020,189,0,998.868244933231
"97","2020-Site-04",45.72242,-118.6281,2020,135,0,467.469135634458
"98","2020-Site-04",45.72242,-118.6281,2020,142,0,522.179135634458
"99","2020-Site-04",45.72242,-118.6281,2020,149,0,592.370181109665
"100","2020-Site-04",45.72242,-118.6281,2020,154,0,657.809227069809
"101","2020-Site-04",45.72242,-118.6281,2020,161,0,724.874227069809
"102","2020-Site-04",45.72242,-118.6281,2020,161,0,724.874227069809
"103","2020-Site-04",45.72242,-118.6281,2020,169,0,814.998610439271
"104","2020-Site-04",45.72242,-118.6281,2020,175,0,905.347695140336
"105","2020-Site-04",45.72242,-118.6281,2020,182,0,1005.62841228022
"106","2020-Site-04",45.72242,-118.6281,2020,189,0,1095.66925721595
"107","2020-Site-03",46.04316,-118.22249,2020,135,0,463.277711757281
"108","2020-Site-03",46.04316,-118.22249,2020,142,0,519.097711757281
"109","2020-Site-03",46.04316,-118.22249,2020,149,0,592.580717374576
"110","2020-Site-03",46.04316,-118.22249,2020,154,0,660.067338345237
"111","2020-Site-03",46.04316,-118.22249,2020,161,0,729.092338345237
"112","2020-Site-03",46.04316,-118.22249,2020,169,0,820.617118649108
"113","2020-Site-03",46.04316,-118.22249,2020,175,0,913.503804919976
"114","2020-Site-03",46.04316,-118.22249,2020,182,0,1016.9430841409
"115","2020-Site-03",46.04316,-118.22249,2020,189,0,1112.12417555795
"116","2020-Site-02",47.13353,-118.48203,2020,135,0,334.724351415931
"117","2020-Site-02",47.13353,-118.48203,2020,142,0,386.874823374501
"118","2020-Site-02",47.13353,-118.48203,2020,149,0,446.429121494883
"119","2020-Site-02",47.13353,-118.48203,2020,154,0,505.248109315413
"120","2020-Site-02",47.13353,-118.48203,2020,161,0,561.316412573228
"121","2020-Site-02",47.13353,-118.48203,2020,169,0,638.51451101354
"122","2020-Site-02",47.13353,-118.48203,2020,175,0,721.437800863646
"123","2020-Site-02",47.13353,-118.48203,2020,182,0,820.20919339715
"124","2020-Site-02",47.13353,-118.48203,2020,189,0,903.236721623632
"125","2020-Site-01",47.65058,-118.12819,2020,135,0,237.063594551348
"126","2020-Site-01",47.65058,-118.12819,2020,142,0,280.720264490952
"127","2020-Site-01",47.65058,-118.12819,2020,149,0,330.639435715843
"128","2020-Site-01",47.65058,-118.12819,2020,154,0,381.07117971305
"129","2020-Site-01",47.65058,-118.12819,2020,161,0,426.105096705935
"130","2020-Site-01",47.65058,-118.12819,2020,169,1,489.255883055762
"131","2020-Site-01",47.65058,-118.12819,2020,175,1,564.5072661288
"132","2020-Site-01",47.65058,-118.12819,2020,182,0,653.32853015363
"133","2020-Site-01",47.65058,-118.12819,2020,189,0,726.22353015363
"134","2019-Site-16",46.35034,-117.0487,2019,174,1,994.417489690497
"135","2019-Site-15",46.5588,-117.27041,2019,170,1,854.386345657646
"136","2019-Site-14",46.7599,-117.19882,2019,171,1,651.340305502333
"137","2019-Site-13",47.27322,-117.2742,2019,129,0,207.017033505626
"138","2019-Site-13",47.27322,-117.2742,2019,136,0,276.675560947092
"139","2019-Site-13",47.27322,-117.2742,2019,143,0,323.855560947092
"140","2019-Site-13",47.27322,-117.2742,2019,150,1,391.650560947092
"141","2019-Site-13",47.27322,-117.2742,2019,157,0,473.407899848218
"142","2019-Site-13",47.27322,-117.2742,2019,164,0,546.3452245985
"143","2019-Site-13",47.27322,-117.2742,2019,171,0,633.185981660099
"144","2019-Site-13",47.27322,-117.2742,2019,178,0,696.010981660099
"145","2019-Site-12",46.64227,-117.185,2019,129,0,222.344617684605
"146","2019-Site-12",46.64227,-117.185,2019,136,0,293.404617684605
"147","2019-Site-12",46.64227,-117.185,2019,142,0,330.168660224585
"148","2019-Site-12",46.64227,-117.185,2019,150,0,406.208660224585
"149","2019-Site-12",46.64227,-117.185,2019,157,0,489.853884825423
"150","2019-Site-12",46.64227,-117.185,2019,164,0,566.269847168077
"151","2019-Site-12",46.64227,-117.185,2019,171,0,652.401683142845
"152","2019-Site-12",46.64227,-117.185,2019,178,0,715.051683142845
"153","2019-Site-12",46.64227,-117.185,2019,185,0,796.041813248296
"154","2019-Site-12",46.64227,-117.185,2019,192,2,891.422143980322
"155","2019-Site-11",46.51313,-117.1284,2019,129,0,217.041246740132
"156","2019-Site-11",46.51313,-117.1284,2019,136,0,288.266246740132
"157","2019-Site-11",46.51313,-117.1284,2019,142,1,323.173722407887
"158","2019-Site-11",46.51313,-117.1284,2019,150,1,397.893722407887
"159","2019-Site-11",46.51313,-117.1284,2019,157,0,481.213722407887
"160","2019-Site-11",46.51313,-117.1284,2019,164,0,557.645895155948
"161","2019-Site-11",46.51313,-117.1284,2019,171,0,642.904975718877
"162","2019-Site-11",46.51313,-117.1284,2019,178,0,704.709975718877
"163","2019-Site-11",46.51313,-117.1284,2019,185,0,785.889975718877
"164","2019-Site-11",46.51313,-117.1284,2019,192,0,881.774145309225
"165","2019-Site-10",46.48417,-117.1176,2019,129,0,213.034942591778
"166","2019-Site-10",46.48417,-117.1176,2019,136,0,283.829942591778
"167","2019-Site-10",46.48417,-117.1176,2019,142,0,317.808460648376
"168","2019-Site-10",46.48417,-117.1176,2019,150,0,391.578460648376
"169","2019-Site-10",46.48417,-117.1176,2019,157,0,474.418460648376
"170","2019-Site-10",46.48417,-117.1176,2019,164,0,550.392550208984
"171","2019-Site-10",46.48417,-117.1176,2019,171,0,634.967247500402
"172","2019-Site-10",46.48417,-117.1176,2019,178,0,696.087247500402
"173","2019-Site-10",46.48417,-117.1176,2019,185,0,776.802247500401
"174","2019-Site-10",46.48417,-117.1176,2019,192,0,872.258525632126
"175","2019-Site-09",46.61018,-116.9651,2019,129,0,207.830842293699
"176","2019-Site-09",46.61018,-116.9651,2019,136,0,278.195842293699
"177","2019-Site-09",46.61018,-116.9651,2019,142,0,312.446515096521
"178","2019-Site-09",46.61018,-116.9651,2019,150,0,386.406515096521
"179","2019-Site-09",46.61018,-116.9651,2019,157,0,468.346332538889
"180","2019-Site-09",46.61018,-116.9651,2019,164,1,543.321919505795
"181","2019-Site-09",46.61018,-116.9651,2019,171,0,627.249067343802
"182","2019-Site-09",46.61018,-116.9651,2019,178,0,688.024067343802
"183","2019-Site-09",46.61018,-116.9651,2019,185,0,768.524067343802
"184","2019-Site-09",46.61018,-116.9651,2019,192,0,863.087887832624
"185","2019-Site-08",46.5344,-116.7896,2019,129,0,217.756197327573
"186","2019-Site-08",46.5344,-116.7896,2019,135,0,281.351197327573
"187","2019-Site-08",46.5344,-116.7896,2019,142,4,326.766197327573
"188","2019-Site-08",46.5344,-116.7896,2019,150,1,403.371197327573
"189","2019-Site-08",46.5344,-116.7896,2019,157,0,487.269111108549
"190","2019-Site-08",46.5344,-116.7896,2019,164,0,564.052029040225
"191","2019-Site-08",46.5344,-116.7896,2019,171,0,650.070278000359
"192","2019-Site-08",46.5344,-116.7896,2019,178,0,713.825278000359
"193","2019-Site-08",46.5344,-116.7896,2019,185,0,797.729983573068
"194","2019-Site-08",46.5344,-116.7896,2019,192,0,894.966931433911
"195","2019-Site-07",47.65092,-118.13131,2019,129,0,201.37190711783
"196","2019-Site-07",47.65092,-118.13131,2019,136,1,265.633332574771
"197","2019-Site-07",47.65092,-118.13131,2019,143,0,314.122221945306
"198","2019-Site-07",47.65092,-118.13131,2019,150,0,382.557221945306
"199","2019-Site-07",47.65092,-118.13131,2019,157,0,461.715233316688
"200","2019-Site-07",47.65092,-118.13131,2019,164,0,534.772925162844
"201","2019-Site-07",47.65092,-118.13131,2019,171,0,623.704567380325
"202","2019-Site-07",47.65092,-118.13131,2019,178,0,686.922583066829
"203","2019-Site-06",47.28942,-118.04549,2019,129,0,235.749427563389
"204","2019-Site-06",47.28942,-118.04549,2019,136,3,305.609427563389
"205","2019-Site-06",47.28942,-118.04549,2019,143,0,359.289427563389
"206","2019-Site-06",47.28942,-118.04549,2019,150,1,432.794427563389
"207","2019-Site-06",47.28942,-118.04549,2019,157,1,519.35845480975
"208","2019-Site-06",47.28942,-118.04549,2019,164,1,597.982718093512
"209","2019-Site-06",47.28942,-118.04549,2019,171,1,690.944139561093
"210","2019-Site-06",47.28942,-118.04549,2019,178,0,759.104139561093
"211","2019-Site-05",46.97154,-118.47424,2019,129,0,294.523791518087
"212","2019-Site-05",46.97154,-118.47424,2019,136,0,369.209531470124
"213","2019-Site-05",46.97154,-118.47424,2019,143,0,430.714531470124
"214","2019-Site-05",46.97154,-118.47424,2019,150,0,512.803236022873
"215","2019-Site-05",46.97154,-118.47424,2019,157,1,608.33763765108
"216","2019-Site-05",46.97154,-118.47424,2019,164,1,693.231086088391
"217","2019-Site-05",46.97154,-118.47424,2019,171,0,792.051843174173
"218","2019-Site-05",46.97154,-118.47424,2019,178,0,866.321843174173
"219","2019-Site-04",47.08359,-118.51488,2019,129,0,275.385051994961
"220","2019-Site-04",47.08359,-118.51488,2019,136,1,347.369069871726
"221","2019-Site-04",47.08359,-118.51488,2019,143,3,405.596034506816
"222","2019-Site-04",47.08359,-118.51488,2019,150,4,484.951845286179
"223","2019-Site-04",47.08359,-118.51488,2019,157,6,577.490220653556
"224","2019-Site-04",47.08359,-118.51488,2019,164,1,659.749163415833
"225","2019-Site-04",47.08359,-118.51488,2019,171,2,756.474194255195
"226","2019-Site-04",47.08359,-118.51488,2019,178,0,827.179194255195
"227","2019-Site-03",47.00155,-118.55771,2019,129,0,293.854395260046
"228","2019-Site-03",47.00155,-118.55771,2019,136,2,368.099957937602
"229","2019-Site-03",47.00155,-118.55771,2019,143,0,429.467255948582
"230","2019-Site-03",47.00155,-118.55771,2019,150,2,511.724462295897
"231","2019-Site-03",47.00155,-118.55771,2019,157,0,606.990834597136
"232","2019-Site-03",47.00155,-118.55771,2019,164,0,691.526078139684
"233","2019-Site-03",47.00155,-118.55771,2019,171,0,790.454881695672
"234","2019-Site-03",47.00155,-118.55771,2019,178,0,864.249881695672
"235","2019-Site-02",47.27489,-117.27478,2019,129,0,207.017033505626
"236","2019-Site-02",47.27489,-117.27478,2019,136,0,276.675560947092
"237","2019-Site-02",47.27489,-117.27478,2019,143,0,323.855560947092
"238","2019-Site-02",47.27489,-117.27478,2019,150,0,391.650560947092
"239","2019-Site-02",47.27489,-117.27478,2019,157,0,473.407899848218
"240","2019-Site-02",47.27489,-117.27478,2019,164,0,546.3452245985
"241","2019-Site-02",47.27489,-117.27478,2019,171,0,633.185981660099
"242","2019-Site-02",47.27489,-117.27478,2019,178,0,696.010981660099
"243","2019-Site-01",47.03181,-117.02192,2019,129,0,194.211570733219
"244","2019-Site-01",47.03181,-117.02192,2019,136,0,262.461668388532
"245","2019-Site-01",47.03181,-117.02192,2019,143,0,305.810180809381
"246","2019-Site-01",47.03181,-117.02192,2019,150,0,369.170180809381
"247","2019-Site-01",47.03181,-117.02192,2019,157,0,449.002501360236
"248","2019-Site-01",47.03181,-117.02192,2019,164,0,519.218143929
"249","2019-Site-01",47.03181,-117.02192,2019,171,0,602.093277980192
"250","2019-Site-01",47.03181,-117.02192,2019,178,0,660.748277980192
"251","2018-Site-09",46.54185,-117.1918,2017,285,0,2056.18085639368
"252","2018-Site-09",46.54185,-117.1918,2017,292,0,2084.51835746123
"253","2018-Site-09",46.54185,-117.1918,2017,299,0,2109.69630253085
"254","2018-Site-09",46.54185,-117.1918,2017,306,0,2127.43394201772
"255","2018-Site-09",46.54185,-117.1918,2017,313,0,2128.27157598154
"256","2018-Site-09",46.54185,-117.1918,2017,320,0,2134.57472113569
"257","2018-Site-09",46.54185,-117.1918,2017,327,0,2148.19302743644
"258","2018-Site-09",46.54185,-117.1918,2017,334,0,2153.5342041876
"259","2018-Site-09",46.54185,-117.1918,2018,107,0,101.675050043262
"260","2018-Site-09",46.54185,-117.1918,2018,114,0,127.634171156093
"261","2018-Site-09",46.54185,-117.1918,2018,121,0,146.149619926205
"262","2018-Site-09",46.54185,-117.1918,2018,128,0,190.770975099938
"263","2018-Site-09",46.54185,-117.1918,2018,135,0,226.539923378394
"264","2018-Site-09",46.54185,-117.1918,2018,142,0,273.555516912768
"265","2018-Site-09",46.54185,-117.1918,2018,149,22,346.334371241757
"266","2018-Site-09",46.54185,-117.1918,2018,156,25,422.963999848891
"267","2018-Site-09",46.54185,-117.1918,2018,163,2,489.478155863876
"268","2018-Site-09",46.54185,-117.1918,2018,170,13,559.864324802287
"269","2018-Site-09",46.54185,-117.1918,2018,177,15,654.946894157822
"270","2018-Site-09",46.54185,-117.1918,2018,184,4,755.202116933708
"271","2018-Site-09",46.54185,-117.1918,2018,191,0,873.7004358429
"272","2018-Site-09",46.54185,-117.1918,2018,198,0,979.908406488031
"273","2018-Site-09",46.54185,-117.1918,2018,205,0,1086.97701925389
"274","2018-Site-09",46.54185,-117.1918,2018,212,0,1204.22384315477
"275","2018-Site-08",46.58903,-117.21612,2017,285,0,2046.39512129162
"276","2018-Site-08",46.58903,-117.21612,2017,292,0,2074.3282418726
"277","2018-Site-08",46.58903,-117.21612,2017,299,0,2099.16479374208
"278","2018-Site-08",46.58903,-117.21612,2017,306,0,2116.75244499173
"279","2018-Site-08",46.58903,-117.21612,2017,313,0,2117.58069655921
"280","2018-Site-08",46.58903,-117.21612,2017,320,0,2123.87972466935
"281","2018-Site-08",46.58903,-117.21612,2017,327,0,2137.53348584209
"282","2018-Site-08",46.58903,-117.21612,2017,334,0,2142.87675923359
"283","2018-Site-08",46.58903,-117.21612,2018,107,0,101.673673176565
"284","2018-Site-08",46.58903,-117.21612,2018,114,0,128.072164727617
"285","2018-Site-08",46.58903,-117.21612,2018,121,0,146.863638452893
"286","2018-Site-08",46.58903,-117.21612,2018,128,0,191.776584863715
"287","2018-Site-08",46.58903,-117.21612,2018,135,0,227.90750158246
"288","2018-Site-08",46.58903,-117.21612,2018,142,0,275.08550364796
"289","2018-Site-08",46.58903,-117.21612,2018,149,6,347.577041838768
"290","2018-Site-08",46.58903,-117.21612,2018,156,23,424.137396309805
"291","2018-Site-08",46.58903,-117.21612,2018,163,8,490.711261803367
"292","2018-Site-08",46.58903,-117.21612,2018,170,24,561.109052926676
"293","2018-Site-08",46.58903,-117.21612,2018,177,53,655.508148523724
"294","2018-Site-08",46.58903,-117.21612,2018,184,34,755.29264848828
"295","2018-Site-08",46.58903,-117.21612,2018,191,10,872.721112526303
"296","2018-Site-08",46.58903,-117.21612,2018,198,16,978.024526625239
"297","2018-Site-08",46.58903,-117.21612,2018,205,2,1083.91901820854
"298","2018-Site-08",46.58903,-117.21612,2018,212,0,1199.8492458005
"299","2018-Site-07",46.61277,-117.24152,2017,285,0,2053.56956684027
"300","2018-Site-07",46.61277,-117.24152,2017,292,0,2081.56927995095
"301","2018-Site-07",46.61277,-117.24152,2017,299,0,2106.52476539078
"302","2018-Site-07",46.61277,-117.24152,2017,306,0,2124.15290215424
"303","2018-Site-07",46.61277,-117.24152,2017,313,0,2125.03116630968
"304","2018-Site-07",46.61277,-117.24152,2017,320,0,2131.57892388647
"305","2018-Site-07",46.61277,-117.24152,2017,327,0,2145.5259878494
"306","2018-Site-07",46.61277,-117.24152,2017,334,0,2150.998670349
"307","2018-Site-07",46.61277,-117.24152,2018,107,0,104.044085668146
"308","2018-Site-07",46.61277,-117.24152,2018,114,0,131.207926670857
"309","2018-Site-07",46.61277,-117.24152,2018,121,0,150.619254518328
"310","2018-Site-07",46.61277,-117.24152,2018,128,0,196.176929501438
"311","2018-Site-07",46.61277,-117.24152,2018,135,0,232.913752397631
"312","2018-Site-07",46.61277,-117.24152,2018,142,0,280.674316526244
"313","2018-Site-07",46.61277,-117.24152,2018,149,1,353.502434243581
"314","2018-Site-07",46.61277,-117.24152,2018,156,2,430.526086931386
"315","2018-Site-07",46.61277,-117.24152,2018,163,34,497.663207548318
"316","2018-Site-07",46.61277,-117.24152,2018,170,5,568.716370663941
"317","2018-Site-07",46.61277,-117.24152,2018,177,16,663.214260297141
"318","2018-Site-07",46.61277,-117.24152,2018,184,30,763.195769285804
"319","2018-Site-07",46.61277,-117.24152,2018,191,10,880.258138847261
"320","2018-Site-07",46.61277,-117.24152,2018,198,3,985.435705522498
"321","2018-Site-07",46.61277,-117.24152,2018,205,0,1090.99185056718
"322","2018-Site-07",46.61277,-117.24152,2018,212,0,1206.39376649613
"323","2018-Site-06",46.62518,-117.23395,2017,285,0,2067.55343337797
"324","2018-Site-06",46.62518,-117.23395,2017,292,0,2095.94727200032
"325","2018-Site-06",46.62518,-117.23395,2017,299,0,2121.31766257202
"326","2018-Site-06",46.62518,-117.23395,2017,306,0,2139.08558672157
"327","2018-Site-06",46.62518,-117.23395,2017,313,0,2140.04447299064
"328","2018-Site-06",46.62518,-117.23395,2017,320,0,2146.89672641888
"329","2018-Site-06",46.62518,-117.23395,2017,327,0,2161.2106182313
"330","2018-Site-06",46.62518,-117.23395,2017,334,0,2166.83823967213
"331","2018-Site-06",46.62518,-117.23395,2018,107,0,106.93478798969
"332","2018-Site-06",46.62518,-117.23395,2018,114,0,134.85457579617
"333","2018-Site-06",46.62518,-117.23395,2018,121,0,154.955493291184
"334","2018-Site-06",46.62518,-117.23395,2018,128,0,201.164784112893
"335","2018-Site-06",46.62518,-117.23395,2018,135,0,238.519157082477
"336","2018-Site-06",46.62518,-117.23395,2018,142,0,286.932184653686
"337","2018-Site-06",46.62518,-117.23395,2018,149,6,360.36089004697
"338","2018-Site-06",46.62518,-117.23395,2018,156,5,438.05135079136
"339","2018-Site-06",46.62518,-117.23395,2018,163,9,505.977155762617
"340","2018-Site-06",46.62518,-117.23395,2018,170,14,577.905539181257
"341","2018-Site-06",46.62518,-117.23395,2018,177,22,672.873946662766
"342","2018-Site-06",46.62518,-117.23395,2018,184,31,773.235648185335
"343","2018-Site-06",46.62518,-117.23395,2018,191,18,890.283054144564
"344","2018-Site-06",46.62518,-117.23395,2018,198,7,995.769273419678
"345","2018-Site-06",46.62518,-117.23395,2018,205,6,1101.4870268834
"346","2018-Site-06",46.62518,-117.23395,2018,212,0,1216.77797323957
"347","2018-Site-05",46.65718,-117.31465,2017,285,0,2048.64338102024
"348","2018-Site-05",46.65718,-117.31465,2017,292,0,2076.17927676732
"349","2018-Site-05",46.65718,-117.31465,2017,299,0,2100.75071460895
"350","2018-Site-05",46.65718,-117.31465,2017,306,0,2118.16808115929
"351","2018-Site-05",46.65718,-117.31465,2017,313,0,2119.04203137197
"352","2018-Site-05",46.65718,-117.31465,2017,320,0,2125.61860017988
"353","2018-Site-05",46.65718,-117.31465,2017,327,0,2139.70629263508
"354","2018-Site-05",46.65718,-117.31465,2017,334,0,2145.2108767248
"355","2018-Site-05",46.65718,-117.31465,2018,107,0,104.880102513406
"356","2018-Site-05",46.65718,-117.31465,2018,114,0,132.626578096952
"357","2018-Site-05",46.65718,-117.31465,2018,121,0,152.439344790753
"358","2018-Site-05",46.65718,-117.31465,2018,128,0,198.457535638703
"359","2018-Site-05",46.65718,-117.31465,2018,135,0,235.611781770696
"360","2018-Site-05",46.65718,-117.31465,2018,142,0,283.80438904358
"361","2018-Site-05",46.65718,-117.31465,2018,149,17,356.477038365753
"362","2018-Site-05",46.65718,-117.31465,2018,156,8,433.473207069446
"363","2018-Site-05",46.65718,-117.31465,2018,163,14,500.675419236299
"364","2018-Site-05",46.65718,-117.31465,2018,170,13,571.917770661899
"365","2018-Site-05",46.65718,-117.31465,2018,177,35,665.938577968821
"366","2018-Site-05",46.65718,-117.31465,2018,184,19,765.752006579434
"367","2018-Site-05",46.65718,-117.31465,2018,191,23,882.051683349495
"368","2018-Site-05",46.65718,-117.31465,2018,198,19,986.446093924546
"369","2018-Site-05",46.65718,-117.31465,2018,205,4,1090.97799444335
"370","2018-Site-05",46.65718,-117.31465,2018,212,0,1205.4489149253
"371","2018-Site-04",47.07158,-117.32205,2017,285,0,1973.78597484871
"372","2018-Site-04",47.07158,-117.32205,2017,292,0,1996.95725121318
"373","2018-Site-04",47.07158,-117.32205,2017,299,0,2017.64433585542
"374","2018-Site-04",47.07158,-117.32205,2017,306,0,2033.1781656421
"375","2018-Site-04",47.07158,-117.32205,2017,313,0,2033.52879096564
"376","2018-Site-04",47.07158,-117.32205,2017,320,0,2037.94856975535
"377","2018-Site-04",47.07158,-117.32205,2017,327,0,2049.68775466693
"378","2018-Site-04",47.07158,-117.32205,2017,334,0,2053.99406020596
"379","2018-Site-04",47.07158,-117.32205,2018,107,0,86.482591440207
"380","2018-Site-04",47.07158,-117.32205,2018,114,0,112.555318741859
"381","2018-Site-04",47.07158,-117.32205,2018,121,0,131.044809909624
"382","2018-Site-04",47.07158,-117.32205,2018,128,1,175.267559534436
"383","2018-Site-04",47.07158,-117.32205,2018,135,2,211.55411730089
"384","2018-Site-04",47.07158,-117.32205,2018,142,6,259.483985851693
"385","2018-Site-04",47.07158,-117.32205,2018,149,36,330.844308642451
